PDS No.,Supplier,Plant,Short Name,Name,IssueDate,DeliveryDate,Trip,Str,Flag,Cycle,No.,Part No.,Part Name,Q'Ty/Pack,Q'Ty Order Total,Price,%,P/O No.,Type Order,Remark1,Remark2,Remark3,Sebango,Location,Attn,KanbanID,Store No,DeliveryTime,Kanban Remark,Dockcode,Collect Date,Collect Time,Delivery By,Approval,Address,Type Version,PDS Backup,DeptCode,DAcctNo,Work Code,Sparetext1,Sparetext2,SpareNum1,SpareNum2
3E24092301010,'2937,E,TKT,TAKEBE(THAILAND) CO.*LTD,20/09/2024,23/09/2024,1,,,'010101,1,'51100KKL0000,FRAME ASSY                                        ,5,10,0,7,P-09/2024                ,N,,,,,3,,'0B39,3E,(13:00),                                                  ,A1   ,20240923  ,(08:30),TTKA           ,,                    ,T,P,0,0,,,,0,0
3E24092301010,'2937,E,TKT,TAKEBE(THAILAND) CO.*LTD,20/09/2024,23/09/2024,1,,,'010101,2,'51100KKL2000,FRAME ASSY                                        ,5,10,0,7,P-09/2024                ,N,,,,,3,,'0B41,3E,(13:00),                                                  ,A1   ,20240923  ,(08:30),TTKA           ,,                    ,T,P,0,0,,,,0,0
3E24092701007,'2937,E,TKT,TAKEBE(THAILAND) CO.*LTD,26/09/2024,27/09/2024,1,,,'010101,1,'51100KKK2000,FRAME ASSY                                        ,5,10,0,7,P-09/2024                ,N,,,,,3,,'0B31,3E,(13:00),                                                  ,A1   ,20240927  ,(08:30),TTKA           ,,                    ,T,P,0,0,,,,0,0
3E24092701007,'2937,E,TKT,TAKEBE(THAILAND) CO.*LTD,26/09/2024,27/09/2024,1,,,'010101,2,'51100KKL0000,FRAME ASSY                                        ,5,10,0,7,P-09/2024                ,N,,,,,3,,'0B39,3E,(13:00),                                                  ,A1   ,20240927  ,(08:30),TTKA           ,,                    ,T,P,0,0,,,,0,0
3E24092701007,'2937,E,TKT,TAKEBE(THAILAND) CO.*LTD,26/09/2024,27/09/2024,1,,,'010101,3,'51100KKL2000,FRAME ASSY                                        ,5,10,0,7,P-09/2024                ,N,,,,,3,,'0B41,3E,(13:00),                                                  ,A1   ,20240927  ,(08:30),TTKA           ,,                    ,T,P,0,0,,,,0,0
3E24092301011,'2937,R,TKT,TAKEBE(THAILAND) CO.*LTD,20/09/2024,23/09/2024,1,,,'010101,1,'51011KK20100,RAIL SUB-ASSY* FRAME SIDE* RH                     ,5,120,0,7,P-09/2024                ,N,,,,,3,,'0613,3E,(13:00),                                                  ,     ,20240923  ,(     ),               ,,                    ,T,P,0,0,,,,0,0
3E24092301011,'2937,R,TKT,TAKEBE(THAILAND) CO.*LTD,20/09/2024,23/09/2024,1,,,'010101,2,'51012KK20100,RAIL SUB-ASSY* FRAME SIDE* RH                     ,5,120,0,7,P-09/2024                ,N,,,,,3,,'0657,3E,(13:00),                                                  ,     ,20240923  ,(     ),               ,,                    ,T,P,0,0,,,,0,0
