PDS No.,Supplier,Plant,Short Name,Name,IssueDate,DeliveryDate,Trip,Str,Flag,Cycle,No.,Part No.,Part Name,Q'Ty/Pack,Q'Ty Order Total,Price,%,P/O No.,Type Order,Remark1,Remark2,Remark3,Sebango,Location,Attn,KanbanID,Store No,DeliveryTime,Kanban Remark,Dockcode,Collect Date,Collect Time,Delivery By,Approval,Address,Type Version,PDS Backup,DeptCode,DAcctNo,Work Code,Sparetext1,Sparetext2,SpareNum1,SpareNum2
7Y24102901001,'2937,R,TKT,TAKEBE(THAILAND) CO.*LTD,16/10/2024,29/10/2024,1,,,'010101,1,'51011KK20100,RAIL SUB-ASSY* FRAME SIDE* RH                     ,10,60,0,7,P-10/2024                ,U,1S HMT1JSJB0025:2024102901E1SJ,,,,3,,'C909,3E,(09:10),                                                  ,     ,20241029  ,(     ),               ,,Pack:MD1            ,T,P,0,0,,,,0,0
7Y24102901001,'2937,R,TKT,TAKEBE(THAILAND) CO.*LTD,16/10/2024,29/10/2024,1,,,'010101,2,'51012KK20100,RAIL SUB-ASSY* FRAME SIDE* RH                     ,10,60,0,7,P-10/2024                ,U,1S HMT1JSJB0025:2024102901E1SJ,,,,3,,'C910,3E,(09:10),                                                  ,     ,20241029  ,(     ),               ,,Pack:MD1            ,T,P,0,0,,,,0,0
7Y24102901002,'2937,R,TKT,TAKEBE(THAILAND) CO.*LTD,16/10/2024,29/10/2024,1,,,'010101,1,'51011KK20100,RAIL SUB-ASSY* FRAME SIDE* RH                     ,10,60,0,7,P-10/2024                ,U,1S HMT1JSJB0026:2024102902E1SJ,,,,3,,'C909,3E,(11:00),                                                  ,     ,20241029  ,(     ),               ,,Pack:MD1            ,T,P,0,0,,,,0,0
7Y24102901002,'2937,R,TKT,TAKEBE(THAILAND) CO.*LTD,16/10/2024,29/10/2024,1,,,'010101,2,'51012KK20100,RAIL SUB-ASSY* FRAME SIDE* RH                     ,10,60,0,7,P-10/2024                ,U,1S HMT1JSJB0026:2024102902E1SJ,,,,3,,'C910,3E,(11:00),                                                  ,     ,20241029  ,(     ),               ,,Pack:MD1            ,T,P,0,0,,,,0,0
7Y24103001001,'2937,R,TKT,TAKEBE(THAILAND) CO.*LTD,16/10/2024,30/10/2024,1,,,'010101,1,'51011KK20100,RAIL SUB-ASSY* FRAME SIDE* RH                     ,10,60,0,7,P-10/2024                ,U,1S HMT1JSJB0027:2024103001E1SJ,,,,3,,'C909,3E,(09:10),                                                  ,     ,20241030  ,(     ),               ,,Pack:MD1            ,T,P,0,0,,,,0,0
7Y24103001001,'2937,R,TKT,TAKEBE(THAILAND) CO.*LTD,16/10/2024,30/10/2024,1,,,'010101,2,'51012KK20100,RAIL SUB-ASSY* FRAME SIDE* RH                     ,10,60,0,7,P-10/2024                ,U,1S HMT1JSJB0027:2024103001E1SJ,,,,3,,'C910,3E,(09:10),                                                  ,     ,20241030  ,(     ),               ,,Pack:MD1            ,T,P,0,0,,,,0,0
